House #,Selling price,Zip code,Formal Date,beds,bath,House type,sqft,year built,last sold price ,last sold date,Zestimate
1,48800,30310,2012.0531,2,2,Ranch home,1188,@1950,7400,2011.0719,32412
2,42000,30310,2014.0805,3,3,Ranch home,1352,@1956,7000,2011.1227,54362
3,60000,30310,2013.1113,3,1,single family,1050,@1950,108000,2007.0613,53873
4,36000,30310,2014.1118,3,1.5,single family,1131,@1962,36000,2008.121,52829
5,25000,30310,2014.1016,3,2,single family,1110,@1920,25000,2008.0611,64275
6,38000,30310,2014.1008,2,1,single family,1060,@1948,31000,2008.0903,39763
7,45000,30310,2014.0903,3,2,single family ,1200,@2001,45000,2014.0903,49398
8,27000,30310,2014.0903,2,1,Bungalow,846,@1946,4576,2014.0328,48539
9,25000,30310,2014.0919,4,2,Duplex,1662,@1945,12500,1978.0426,50643
10,14000,30310,2014.1002,2,1,single family,850,@1949,72000,1999.0708,41814
11,15200,30310,2014.0813,3,2,single family,1651,@1928,230068,2007.1002,76982
12,113000,30310,2014.1105,4,4,single family,2120,@1940,14000,2012.083,81210
13,117000,30310,2014.1003,3,2,single family,1330,@1925,17422,2012.1004,39518
14,17000,30310,2014.1007,3,1,single family,1280,@1950,23700,2008.0617,50065
15,1006800,30310,2014.1015,3,2,single family,1206,@1940,48000,2014.0114,59418
16,38000,30310,2014.1008,2,1,single family,1060,@1958,38000,2008.0908,38958
17,94500,30310,2014.0815,3,3.5,single family,2134,@1955,200000,2008.0111,85151
18,2500,30310,2014.0826,3,1,single family,858,@1950,60000,2000.0717,38048
19,60000,30310,2014.0509,2,1,single family,1510,@1930,60000,2014.0509,45038
20,82000,30310,2014.0804,3,0,single family,250,@2009,35100,2013.0424,48983
21,1200000,30309,2014.0724,6,4,single family,3900,@2014,350000,2013.0227,836653
22,1250000,30309,2014.0724,3,2,single family,3128,@1952,740000,2000.1226,1104147
23,525000,30309,2014.073,5,3,single family,2625,@1952,540000,2008.0618,525920
24,268500,30309,2014.073,2,1,single family,1140,@1980,285000,2006.0929,286978
25,424200,30309,2014.0811,3,3,single family,2824,@1935,100000,1985.0925,428907
26,455000,30309,2014.0812,2,3,single family,1381,@2010,450000,2014.0812,455000
27,182500,30309,2014.0813,2,1,single family,960,@1925,160000,2010.0408,178376
28,650000,30309,2014.0813,4,3,single family,3213,@1935,292000,1991.083,829773
29,1106000,30309,2014.0815,4,5,single family,4175,@1911,802000,2011.0721,1102243
30,445000,30309,2014.0815,2,2,single family,1365,@1924,180000,1994.0401,429415
31,430000,30309,2014.0826,3,4,townhouse,2070,@2011,430000,2014.0826,441494
32,139000,30309,2014.0904,1,1,condo,876,@1932,65550,2012.1025,138865
33,2325000,30309,2014.0909,3,2.5,single family,1992,@1950,615000,2013.0819,883732
34,100000,30309,2014.0911,1,1,townhouse,815,@1962,50000,2014.0502,99614
35,102500,30309,2014.0818,2,1,condo,989,@1925,183500,2007.0226,173966
36,108500,30309,2014.0818,1,1,condo,888,@1929,72500,1995.0605,127891
37,425000,30309,2014.1015,2,1,single family,1778,@1940,325000,2003.0703,400340
38,825000,30309,2014.0522,4,4,single family,3082,@1987,859900,2001.082,1094400
39,421000,30309,2014.0522,2,2.5,single family,1391,@2010,419500,2014.0327,435141
40,165000,30309,2014.0515,2,2,townhouse,1028,@1989,90000,2011.0606,174693
41,755000,30309,2014.0512,3,2,single family,2400,@1951,125000,1984.0112,770438
42,842000,94043,2014.0725,2,2,townhouse,1174,@1974,480000,2004.0323,687224
43,675000,94043,2014.0721,2,2,condo,962,@1979,515000,2007.0921,602701
44,950000,94043,2014.0718,2,1,single family,734,@1953,550000,2003.1126,940284
45,1050000,94043,2014.093,4,2.5,single family ,2236,@1908,1050000,2014.093,1382745
46,740000,94043,2014.0929,3,2,townhouse,1406,@1980,525000,2005.0819,767346
47,944000,94043,2014.0912,3,2,townhouse,1290,@1965,530000,2012.0816,830074
48,549000,94043,2014.0909,2,2,condo,960,@1968,375000,2005.0118,509075
49,865000,94043,2014.0909,4,2.5,single family,1326,@1950,165000,1987.0508,886040
50,1200000,94043,2014.0915,3,2,single family,1296,@1954,442272,2005.0824,850371
51,767500,94043,2014.0925,2,2.5,townhouse,1113,@1985,395000,2002.0423,706030
52,700000,94043,2014.0708,3,1.5,townhouse,1215,@1972,555000,2007.0522,652644
53,1230000,94043,2014.0714,3,2,single family,1426,@1950,798000,2011.081,1211209
54,1210000,94043,2014.0725,2,2,single family,1538,@1988,329000,1994.0114,1222310
55,420000,94043,2014.0725,1,1,condo,662,@1971,347000,2006.1017,436168
56,433000,94043,2014.0626,1,1,condo,662,@1971,265000,2003.1203,418181
57,870000,94043,2014.091,2,2.5,condo,1407,@1988,870000,2014.091,828251
58,680000,94043,2014.0808,3,1.5,townhouse,1128,@1971,337000,2000.0309,669128
59,1470000,94043,2014.0818,4,2.5,single family,1950,@2008,1010000,2008.1209,1470000
60,760000,94043,2014.082,2,2.5,condo,1223,@1984,635000,2007.0223,729816